Airport,Latitude,Longitude
ABI,32.411,-99.682
ACK,41.253,-70.06
ACT,31.611,-97.23
ACY,39.458,-74.577
ADM,34.303000000000004,-97.019
ADW,38.811,-76.867
AEX,31.327,-92.548
AGS,33.37,-81.964
AKR,41.038,-81.467
ALB,42.74800000000001,-73.803
ALI,27.741,-98.027
AMA,35.219,-101.706
ANB,33.588,-85.85799999999998
AND,34.495,-82.709
AOO,40.296,-78.32
APG,39.466,-76.169
ARA,30.038,-91.884
ART,43.992,-76.02199999999998
ATL,33.64,-84.427
AUG,44.32100000000001,-69.797
AUS,30.194000000000006,-97.67
BAB,39.136,-121.436
BAD,32.501999999999995,-93.663
BCT,26.378,-80.107
BDE,48.728,-94.612
BDL,41.93899999999999,-72.683
BDR,41.163,-73.126
BED,42.47,-71.289
BFI,47.53,-122.302
BFL,35.433,-119.057
BFM,30.626,-88.068
BGR,44.807,-68.828
BHM,33.563,-86.75299999999999
BIF,31.849,-106.38
BIX,30.411,-88.92399999999998
BKF,39.702,-104.751
BLI,48.792,-122.537
BLV,38.545,-89.835
BNA,36.124,-86.678
BOI,43.56399999999999,-116.223
BOS,42.364,-71.005
BPT,29.951,-94.021
BRO,25.907,-97.426
BTR,30.533,-91.149
BTV,44.472,-73.153
BUF,42.94,-78.732
BUR,34.201,-118.359
BWI,39.175,-76.668
BYH,35.964,-89.943
BYS,35.28,-116.63
CAE,33.939,-81.119
CAR,46.871,-68.018
CBM,33.644,-88.444
CDC,37.701,-113.099
CDS,34.434,-100.288
CEF,42.198,-72.53399999999998
CEW,30.779,-86.522
CFD,30.716,-96.331
CHA,35.035,-85.204
CHS,32.899,-80.04
CIC,39.795,-121.858
CLE,41.412,-81.85
CLL,30.588,-96.364
CLT,35.214,-80.943
CMH,39.99800000000001,-82.89200000000002
CNM,32.337,-104.263
CNW,31.638,-97.074
COF,28.235,-80.61
COS,38.806,-104.7
COT,28.458,-99.22
COU,38.81800000000001,-92.219
CPR,42.908,-106.464
CRP,27.77,-97.501
CTB,48.608,-112.376
CVG,39.046,-84.662
CVS,34.383,-103.322
CXL,32.669000000000004,-115.513
CXO,30.352,-95.414
CYS,41.15600000000001,-104.812
DAL,32.847,-96.852
DAY,39.902,-84.219
DCA,38.852,-77.03699999999998
DEN,39.858,-104.667
DET,42.409,-83.01
DFW,32.896,-97.037
DHN,31.321,-85.449
DHT,36.023,-102.547
DLF,29.359,-100.778
DLH,46.842,-92.194
DMA,32.166,-110.883
DOV,39.13,-75.46600000000002
DPA,41.908,-88.249
DRI,30.832,-93.34
DRO,37.151,-107.754
DRT,29.373,-100.926
DSM,41.534,-93.663
DTW,42.212,-83.353
DUG,31.469,-109.604
DYS,32.421,-99.854
ECG,36.261,-76.17399999999998
EDW,34.905,-117.884
EFD,29.607,-95.159
EGP,28.7,-100.479
EKN,38.889,-79.857
ELD,33.221,-92.813
ELP,31.807,-106.378
END,36.34,-97.916
ENV,40.719,-114.031
ESF,31.395,-92.296
EWN,35.073,-77.043
EWR,40.692,-74.169
EYW,24.556,-81.759
FAF,37.133,-76.609
FAT,36.776,-119.718
FCS,38.678,-104.756
FFO,39.826,-84.04799999999999
FHU,31.588,-110.344
FLL,26.072,-80.153
FLO,34.185,-79.72399999999998
FLV,39.368,-94.914
FMH,41.658,-70.521
FMN,36.741,-108.23
FMY,26.586,-81.863
FOD,42.551,-94.193
FOE,38.951,-95.664
FOK,40.844,-72.632
FRI,39.055,-96.764
FSI,34.65,-98.402
FSM,35.336,-94.367
FTK,37.907,-85.97200000000002
FTW,32.82,-97.362
FXE,26.197,-80.171
FYV,36.005,-94.17
GAG,36.295,-99.776
GCK,37.927,-100.724
GEG,47.62,-117.534
GFK,47.949,-97.176
GGG,32.385,-94.711
GLS,29.265,-94.86
GNT,35.165,-107.901
GNV,29.69,-82.272
GRB,44.485,-88.12899999999998
GRF,47.07899999999999,-122.581
GRK,31.067,-97.829
GRR,42.881,-85.523
GSB,35.339,-77.961
GTB,44.056,-75.719
GTF,47.482,-111.371
GUS,40.648,-86.152
GVT,33.068000000000005,-96.065
GVW,38.843,-94.561
GWO,33.494,-90.084
HBR,34.991,-99.051
HFD,41.736,-72.65
HHR,33.923,-118.335
HIB,47.386,-92.839
HIF,41.124,-111.973
HKY,35.741,-81.389
HLN,46.607,-111.983
HLR,31.139,-97.714
HMN,32.852,-106.106
HOB,32.688,-103.217
HON,44.385,-98.228
HOP,36.668,-87.49600000000002
HOU,29.645,-95.279
HPN,41.067,-73.707
HRL,26.228,-97.654
HRO,36.261,-93.155
HRT,30.428,-86.689
HST,25.488000000000003,-80.384
HTL,44.36,-84.671
HUA,34.679,-86.685
HUF,39.451,-87.307
HUL,46.12300000000001,-67.792
HVR,48.543,-109.762
HWO,26.001,-80.24
IAB,37.62300000000001,-97.267
IAD,38.944,-77.456
IAG,43.107,-78.946
IAH,29.98,-95.34
ICT,37.65,-97.433
IKK,41.07100000000001,-87.846
ABQ,35.04,-106.609
ILG,39.679,-75.60600000000002
ILM,34.271,-77.903
IND,39.717,-86.294
INK,31.779,-103.201
INL,48.566,-93.403
INS,36.587,-115.673
INT,36.134,-80.222
IPL,32.834,-115.579
IPT,41.242,-76.921
ISN,48.178,-103.642
ISP,40.795,-73.1
JAN,32.311,-90.076
JAX,30.494,-81.688
JBR,35.832,-90.646
JFK,40.64,-73.779
LAN,42.779,-84.587
LAS,36.08,-115.152
LAX,33.942,-118.408
LBB,33.664,-101.823
LCH,30.126,-93.223
LCK,39.814,-82.928
LFI,37.083,-76.36
LFK,31.234,-94.75
LFT,30.205,-91.987
LGA,40.777,-73.872
LGB,33.818000000000005,-118.151
LHW,31.889,-81.562
LIT,34.729,-92.224
LNA,26.593000000000004,-80.085
LNK,40.851,-96.759
LOU,38.228,-85.664
LRD,27.544,-99.461
LRF,34.918,-92.146
LSF,32.337,-84.991
LSV,36.236,-115.034
LTS,34.667,-99.267
LUF,33.535,-112.383
LUK,39.103,-84.419
MAF,31.942,-102.202
MCC,38.667,-121.401
MCF,27.849,-82.521
MCI,39.297,-94.714
MCN,32.693000000000005,-83.649
MCO,28.429,-81.316
MDT,40.19300000000001,-76.763
MDW,41.786,-87.75200000000002
MEM,35.042,-89.977
MER,37.38,-120.568
MFE,26.176,-98.239
MGE,33.915,-84.516
MHR,38.554,-121.297
MIA,25.793000000000006,-80.291
MIB,48.416,-101.357
MIV,39.368,-75.072
MKE,42.947,-87.896
MKL,35.6,-88.916
MKO,35.657,-95.361
MLB,28.103,-80.645
MLC,34.882,-95.783
MLT,45.648,-68.686
MLU,32.511,-92.037
MMV,45.194,-123.136
MNM,45.12600000000001,-87.63799999999998
MOB,30.691,-88.243
MOD,37.626,-120.954
MOT,48.25899999999999,-101.28
MPV,44.203,-72.562
MQT,46.534,-87.56200000000003
MSN,43.14,-89.337
MSP,44.88,-93.217
MSS,44.93600000000001,-74.845
MSY,29.993,-90.258
MTC,42.613,-82.83200000000002
MUI,40.435,-76.569
MUO,43.043,-115.872
MWH,47.208,-119.32
MWL,32.781,-98.06
MXF,32.379,-86.36200000000002
MYR,33.68,-78.928
NBC,32.477,-80.723
NBG,29.825,-90.035
NCA,34.708,-77.439
NEL,40.033,-74.35300000000002
NFL,39.416,-118.701
NGU,36.938,-76.289
NHK,38.286,-76.41199999999998
NID,35.688,-117.691
NIP,30.236,-81.681
NJK,32.829,-115.672
NKT,34.902,-76.881
NKX,32.868,-117.143
NLC,36.333,-119.952
NMM,32.552,-88.556
NOW,48.14100000000001,-123.414
NPA,30.353,-87.319
NQA,35.357,-89.87
NQI,27.507,-97.81
NQX,24.576,-81.689
NSE,30.724,-87.022
NTD,34.12,-119.121
NTK,33.706,-117.827
NTU,36.821,-76.033
NUQ,37.415,-122.048
NUW,48.352,-122.656
NXP,34.296,-116.162
NXX,40.2,-75.148
NYG,38.502,-77.305
NZC,30.219,-81.876
NZY,32.699,-117.215
OAK,37.721,-122.221
OFF,41.118,-95.913
OGS,44.682,-75.46600000000002
OKC,35.393,-97.601
OLS,31.418000000000006,-110.848
OMA,41.302,-95.894
ONT,34.056,-117.601
OPF,25.907,-80.278
ORD,41.979,-87.904
ORF,36.894,-76.20100000000002
ORL,28.545,-81.333
PAE,47.90600000000001,-122.281
PAM,30.07,-85.57600000000002
PBF,34.175,-91.934
PBG,44.651,-73.468
PBI,26.683000000000003,-80.096
PDX,45.589,-122.597
PHF,37.132,-76.493
PHL,39.872,-75.241
PHN,42.911,-82.529
PHX,33.434,-112.008
PIE,27.911,-82.68700000000003
PIT,40.491,-80.233
PMD,34.629,-118.084
PNC,36.731,-97.1
PNE,40.082,-75.01100000000002
PNM,45.56,-93.608
PNS,30.473000000000006,-87.18700000000003
POB,35.171,-79.014
POE,31.045,-93.191
PQI,46.68899999999999,-68.045
PRC,34.654,-112.419
PSP,33.829,-116.507
PSX,28.727,-96.251
PUB,38.289,-104.496
PVD,41.724,-71.428
PWM,43.646,-70.309
RAL,33.952,-117.445
RBM,34.85,-92.3
RCA,44.145,-103.103
RDR,47.96100000000001,-97.401
RDU,35.87699999999999,-78.78699999999998
RIC,37.505,-77.319
RIU,38.489,-121.102
RIV,33.881,-117.259
RME,43.234,-75.407
RND,29.529,-98.279
RNO,39.49800000000001,-119.768
ROC,43.119,-77.672
ROW,33.301,-104.531
RSW,26.536,-81.755
SAC,38.51300000000001,-121.493
SAF,35.617,-106.088
SAN,32.733000000000004,-117.189
SAT,29.534,-98.47
SAV,32.126999999999995,-81.202
SBO,32.608000000000004,-82.369
SBY,38.34,-75.51
SCK,37.894,-121.239
SEA,47.449,-122.309
SEM,32.344,-86.988
SFF,47.683,-117.322
SFO,37.619,-122.375
SFZ,41.92100000000001,-71.491
SHV,32.446,-93.826
SJC,37.362,-121.929
SJT,31.358,-100.496
SKA,47.615,-117.656
SKF,29.384,-98.581
SKY,41.433,-82.652
SLC,40.788,-111.978
SMF,38.695,-121.591
SNA,33.676,-117.868
SPB,45.773,-122.862
SPG,27.765,-82.62700000000002
SPS,33.989000000000004,-98.492
SSC,33.973,-80.473
STL,38.74800000000001,-90.36
SUU,38.26300000000001,-121.927
SUX,42.402,-96.384
SVN,32.01,-81.146
SWF,41.504,-74.105
SYR,43.111,-76.10600000000002
SZL,38.73,-93.548
TBN,37.741,-92.141
TCC,35.183,-103.603
TCM,47.13800000000001,-122.476
TCS,33.236999999999995,-107.272
TEB,40.85,-74.061
TIK,35.415,-97.386
TLH,30.396,-84.35
TMB,25.648000000000003,-80.433
TNT,25.862,-80.89699999999998
TPA,27.975,-82.53299999999999
TTN,40.277,-74.813
TUL,36.198,-95.888
TUS,32.116,-110.941
TXK,33.454,-93.991
TYR,32.354,-95.402
TYS,35.812,-83.993
UGN,42.422,-87.868
VAD,30.968000000000004,-83.193
VBG,34.729,-120.577
VCV,34.593,-117.379
VPS,30.483,-86.525
VRB,27.656,-80.418
WAL,37.94,-75.46600000000002
WRB,32.64,-83.59200000000001
WRI,40.016,-74.594
WSD,32.341,-106.403
WWD,39.008,-74.908
YIP,42.238,-83.53
YNG,41.261,-80.679
YUM,32.656,-114.606
ZUN,35.083,-108.792
PAQ,61.595,-149.089
BTI,70.134,-143.577
BET,60.78,-161.838
BIG,63.994,-145.721
BRW,71.285,-156.766
BTT,66.915,-151.528
CDB,55.206,-162.724
CDV,60.492,-145.477
ADK,51.878,-176.646
DLG,59.045,-158.503
ADQ,57.75,-152.494
DUT,53.9,-166.543
EDF,61.25100000000001,-149.806
EHM,58.647,-162.061
EIL,64.666,-147.101
ENA,60.573,-151.245
FAI,64.815,-147.856
FBK,64.837,-147.614
GAL,64.736,-156.937
GKN,62.155,-145.45600000000005
SGY,59.46,-135.316
HOM,59.646,-151.476
ILI,59.754,-154.911
UTO,65.993,-153.704
JNU,58.355,-134.576
AKN,58.677,-156.649
KTN,55.356,-131.714
LUR,68.875,-166.11
MCG,62.953,-155.606
MRI,61.214,-149.846
ANC,61.174,-149.996
ANN,55.042,-131.572
OME,64.512,-165.445
ORT,62.96100000000001,-141.929
OTZ,66.884,-162.59799999999996
PML,59.011,-161.819
SCC,70.195,-148.465
SIT,57.047,-135.361
SNP,57.167,-170.22
SVW,61.097,-155.57399999999996
SYA,52.712,174.114
TAL,65.17399999999999,-152.109
TNC,65.563,-167.922
TKA,62.32,-150.094
TLJ,62.894,-155.976
UNK,63.88800000000001,-160.799
VDZ,61.13399999999999,-146.248
AIN,70.613,-159.86
YAK,59.503,-139.66
FYU,66.571,-145.25
BKH,22.022,-159.787
HDH,21.579,-158.21
HNM,20.796,-156.014
JHM,20.963,-156.674
KOA,19.739,-156.046
LIH,21.976,-159.339
MKK,21.153,-157.096
MUE,20.001,-155.668
NGF,21.449,-157.768
HNL,21.316,-157.92700000000005
LNY,20.786,-156.951
OGG,20.899,-156.431
BSF,19.76,-155.554
ITO,19.72,-155.049
UPP,20.265,-155.86
OLI,70.499,-149.879
PIZ,69.733,-163.005
