,Date,Expected Departure Time,Expected Arrival Time,Distance,Latitude,Longitude,Max Temp,Precip,Wind Speed,Weather Delay
0,2015-01-31,1462.7304,1624.56,815.4512,37.33034399999984,-94.80825279999874,41.860479999999946,0.13032800000000008,15.828560000000065,1250
1,2015-02-28,1444.6163873370576,1614.9429702048417,700.278165735568,36.233835428305,-93.59057309125227,34.98237895716778,0.5584636871508473,17.933263500930526,4296
2,2015-03-31,1360.388857305287,1536.847640704946,659.6839113132462,36.07489994314963,-94.30352472996005,41.971063104035906,0.21596930073905465,18.882660602615033,1759
3,2015-04-30,1527.305982905983,1673.4495726495727,547.1367521367522,37.34306495726517,-94.70199316239261,68.0206837606835,0.7976410256410246,22.124957264957402,585
4,2015-05-31,1602.5277475516866,1719.3329706202394,601.3884657236126,34.60674646354757,-95.21021436343673,76.61251360174117,0.8299020674646422,21.38302502720346,919
5,2015-06-30,1628.6817155756207,1712.1241534988712,583.0677200902935,38.650205417607005,-91.33782279909646,81.57370203160175,0.993758465011283,16.423024830699852,886
6,2015-07-31,1722.312757201646,1748.3456790123457,511.63786008230454,39.20779835390949,-95.47248148148135,84.19958847736638,0.2808641975308642,16.882304526748968,243
7,2015-08-31,1656.8084507042254,1750.9126760563381,501.00281690140844,40.420746478873056,-90.24914366197149,86.05352112676056,0.17780281690140853,17.006197183098575,355
8,2015-09-30,1738.096256684492,1829.9732620320856,372.2192513368984,41.26559358288778,-88.59624598930509,80.62406417112278,0.9355080213903745,17.13422459893044,187
9,2015-10-31,1651.3207547169811,1716.7654986522912,673.4447439353099,33.603522911051286,-97.21787870619954,73.54070080862516,2.6333423180593116,18.529380053908294,371
10,2015-11-30,1487.3516746411483,1549.9246411483255,606.0837320574162,39.59270334928201,-93.80346052631624,47.443181818181465,0.4748205741626798,24.244976076555083,836
11,2015-12-31,1481.1778634361233,1591.8430616740088,719.6161894273127,37.70756057268716,-94.86323458149728,45.752147577091755,0.9665033039647571,23.516905286343466,1816
12,2016-01-31,1435.932337434095,1643.1414762741651,973.4059753954306,36.571743409490175,-94.87694024604524,45.62056239015752,0.3469859402460445,18.62065026362024,1138
13,2016-02-29,1492.857142857143,1674.8377723970943,689.0399515738499,39.5134031476995,-95.74910048426166,39.21246973365603,0.22870460048426156,22.431840193704634,826
14,2016-03-31,1427.9990157480315,1585.3789370078741,793.2677165354331,39.2264970472442,-101.26024311023676,50.61525590551232,0.33785433070866533,32.9632874015752,1016
15,2016-04-30,1351.4154411764705,1555.7855392156862,805.5343137254902,37.87334803921587,-101.85325612745076,50.670833333333285,0.8245833333333307,24.001838235294368,816
16,2016-05-31,1675.431906614786,1711.5214007782101,695.6887159533073,37.96945525291816,-95.3216225680932,77.94747081712029,0.5909727626459139,19.47859922178996,257
17,2016-06-30,1706.203629032258,1732.7600806451612,685.891129032258,37.48353427419344,-98.11369354838756,83.35100806451601,0.49070564516129045,16.23024193548387,496
18,2016-07-31,1652.8033395176253,1708.591836734694,739.6307977736549,39.025319109461726,-91.75307050092803,87.70612244897951,0.34287569573284077,16.77458256029677,539
19,2016-08-31,1592.5891472868218,1705.1589147286822,777.5406976744187,36.02887209302331,-94.85618023255812,87.80717054263553,0.8746124031007705,17.498837209302305,516
20,2016-09-30,1531.1397849462367,1693.9139784946237,533.2150537634409,40.53701075268811,-90.78181720430128,78.75698924731195,0.42612903225806437,15.072043010752703,93
21,2016-10-31,1439.8794326241134,1524.2978723404256,768.8959810874704,35.400983451536504,-90.73256264775428,77.86453900709235,0.13260047281323883,17.67659574468085,423
22,2016-11-30,1649.1357142857144,1786.75,540.6071428571429,40.07927142857153,-97.9183928571428,54.48142857142862,0.16271428571428576,18.88357142857142,140
23,2016-12-31,1414.7470187393526,1583.9795570698466,733.9088586030664,39.98387052810889,-95.72687137989779,31.466183986371444,0.24148211243611614,16.821976149914935,1174
24,2017-01-31,1525.9889604415823,1653.48758049678,634.9917203311868,36.42280220791145,-93.05763109475576,41.77828886844492,0.3090156393744231,18.132566697332166,1087
25,2017-02-28,1436.424430641822,1595.1697722567287,951.5217391304348,37.14359834368515,-99.49018426501091,55.05258799171842,0.22913043478260914,20.22339544513465,483
26,2017-03-31,1384.8458049886622,1525.62358276644,872.4829931972789,38.64252154194983,-95.15083219954653,45.529024943310226,0.12278911564625973,20.29863945578209,882
27,2017-04-30,1525.344,1630.1508571428571,575.056,35.12992685714264,-88.45252914285741,67.33920000000042,2.0431542857142913,22.099200000000092,875
28,2017-05-31,1707.2207792207791,1771.0454545454545,732.5194805194806,37.37446753246758,-94.7756363636365,78.8935064935064,0.09857142857142857,23.409740259740307,154
29,2017-06-30,1630.0430292598967,1749.8450946643718,762.2753872633391,38.238907056798375,-92.65306368330488,86.16936316695332,0.5566781411359669,18.59018932874369,581
30,2017-07-31,1452.6732824427481,1566.3053435114505,665.2839694656489,39.8711160305341,-92.13354045801555,85.48641221373994,0.9296030534351074,20.78900763358773,655
31,2017-08-31,1409.491389207807,1538.46383467279,765.7428243398392,37.672454649827614,-95.9080332950632,82.82571756601588,0.2299425947187148,16.755109070034504,871
32,2017-09-30,1429.7131519274376,1591.1400226757369,884.0147392290249,35.18633616780018,-90.49597278911465,74.43520408163428,1.0827437641723316,24.662981859410472,1764
33,2017-10-31,1494.8701298701299,1636.8961038961038,598.9415584415584,39.229370129870134,-95.70665584415603,63.5279220779221,1.2492857142857148,19.96168831168833,154
34,2017-11-30,1753.5384615384614,1809.6923076923076,539.6538461538462,39.778346153846165,-95.77386538461542,55.2326923076923,0.053653846153846156,17.861538461538462,52
35,2017-12-31,1564.1694094869313,1660.4540174249757,644.4898354307841,34.64416650532397,-87.04191190706683,44.923330106486105,0.5396708615682515,15.103775411422982,1033
36,2018-01-31,1476.9743881616391,1601.229937393284,732.770062606716,36.05753955606129,-92.60111269208704,39.183836084234834,0.06937962435970411,19.393853158793103,1757
37,2018-02-28,1470.1810668670173,1625.7655897821187,584.129977460556,38.41583320811413,-92.75638016528822,41.4546957175055,0.6271975957926379,17.751164537941353,1331
38,2018-03-31,1386.2250639386189,1581.6479113384485,1037.9420289855072,36.639101449275216,-95.0354910485923,55.67374254049474,0.19002557544757048,18.25447570332486,1173
39,2018-04-30,1574.8698979591836,1722.4413265306123,555.2448979591836,37.056275510204,-93.7897525510202,63.15841836734666,0.2308673469387751,25.291071428571378,392
40,2018-05-31,1547.6826923076924,1658.8777472527472,607.5260989010989,39.578081043955834,-91.23393131868173,79.0260989010987,0.6909340659340606,18.622115384615423,728
41,2018-06-30,1568.1930555555555,1659.0875,667.7083333333334,38.74190833333306,-92.12020000000062,84.41249999999975,0.3995277777777758,18.414583333333344,720
42,2018-07-31,1615.8709677419354,1732.1370967741937,721.916129032258,36.76139838709664,-96.88096774193615,88.39483870967756,0.11687096774193548,18.87758064516126,620
43,2018-08-31,1666.3374558303888,1769.8462897526501,790.7491166077739,38.13084982332148,-93.35780388692636,87.47844522968171,0.4362897526501766,17.37844522968193,566
44,2018-09-30,1603.8456057007127,1669.4263657957245,749.2731591448932,35.578024940617695,-94.38500356294503,85.53729216152058,1.2340498812351584,16.11983372921627,842
45,2018-10-31,1552.8256302521008,1624.5252100840337,618.8382352941177,34.89373109243701,-94.83601680672236,70.77878151260485,1.4893487394957983,16.969117647058816,476
46,2018-11-30,1465.868757259001,1555.6132404181185,724.054587688734,39.85082810685211,-91.24784552845544,42.28339140534297,0.1981184668989559,29.009175377468203,861
47,2018-12-31,1569.1334332833583,1613.8530734632684,644.1424287856072,35.5407526236884,-95.36314992503678,53.434932533732905,0.9371814092953586,19.765817091454284,667
